code,product_name_en,brands,brands_tags,quantity,serving_size,categories_tags,labels,labels_tags,countries_tags,origins,origins_tags,manufacturing_places,emb_codes,allergens,allergens_tags,traces,traces_tags,energy-kcal_unit,energy-kcal_value,no_nutrition_data,nutrition_data_per,fat_value,fat_unit,saturated-fat_value,saturated-fat_unit,carbohydrates_value,sugars_value,carbohydrates_unit,proteins_value,proteins_unit,salt_value,salt_unit,sodium_value,sodium_unit,energy_value,energy_unit,off:food_groups,off:food_groups_tags,off:nutriscore_grade,off:nutriscore_score,off:ecoscore_score,off:ecoscore_grade, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Fermented dairy desserts, Yogurts
0746104555250,Strawberry Whole Milk Yogurt,hudson valley fresh,hudson-valley-fresh,170 g,,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:fermented-dairy-desserts-with-fruits,en:yogurts,en:fruit-yogurts",,,en:united-states,,,,,,,,,kcal,150.0,,100g,5.0,g,3.0,g,20.0,19.0,g,7.0,g,0.105,g,0.042,g,150.0,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",c,3.0,63.0,b,Yes,Yes,Yes,Yes,Yes,Yes
0011274001532,Deluxe Strawberry Whole Milk Yogurt,j & j,j-j,,,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:fermented-dairy-desserts-with-fruits,en:yogurts,en:fruit-yogurts",,,en:united-states,,,,,,,,,kcal,123.52941176471,,100g,4.1176470588235,g,2.3529411764706,g,17.647058823529,14.705882352941,g,3.5294117647059,g,0.14705882352941,g,0.058823529411764,g,123.52941176471,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",c,4.0,63.0,b,Yes,Yes,Yes,Yes,Yes,Yes
0639511523632,Strawberry Whole Cow Milk Yogurt,old chattam creamery,old-chattam-creamery,6 oz,,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:fermented-dairy-desserts-with-fruits,en:yogurts,en:fruit-yogurts",,,en:united-states,,,,,,,,,kcal,100.0,,100g,2.3529411764706,g,1.7647058823529,g,15.294117647059,14.117647058824,g,4.7058823529412,g,0.11764705882353,g,0.047058823529412,g,100.0,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",c,3.0,63.0,b,Yes,Yes,Yes,Yes,Yes,Yes
0011384180011,Whole Milk Strawberry Yogurt,yami,yami,170 g,,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:fermented-dairy-desserts-with-fruits,en:yogurts,en:fruit-yogurts",No lactose,en:no-lactose,en:united-states,,,,,,,,,kcal,94.117647058824,,100g,3.5294117647059,g,2.0588235294118,g,12.352941176471,11.764705882353,g,4.7058823529412,g,0.15441176470588,g,0.061764705882352,g,94.117647058824,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",c,3.0,63.0,b,Yes,Yes,Yes,Yes,Yes,Yes
0850036606109,Painterland Sisters plain,,,24,170g,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",No lactose,en:no-lactose,en:united-states,,,,,,,,,kcal,160.0,,100g,10.0,g,7.0,g,3.0,2.0,g,21.0,g,0.1625,g,0.065,g,160.0,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",b,0.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes
0190199246850,Yogurt,great value,great-value,,,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",,,en:united-states,,,,,,,,,kcal,76.470588235294,,100g,0.88235294117647,g,0.58823529411765,g,15.294117647059,12.352941176471,g,2.9411764705882,g,0.11029411764706,g,0.044117647058824,g,76.470588235294,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",b,1.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes
0078742050447,Strawberry Greek Nonfat Yogurt,"great value,wal-mart stores  inc.","great-value,wal-mart-stores-inc",,"1 CONTAINER | PER PACKAGE, (150 g)","en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",,,en:united-states,,,,,,,,,kcal,80.0,,100g,0.0,g,0.0,g,12.67,12.0,g,8.0,g,107.5,mg,43.0,mg,80.0,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",a,-2.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes
0072830440011,Oregon Strawberry Farmstyle Greek Lowfat Yogurt,tillamook,tillamook,150 g,5.3 OZ (150 g),"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",,,en:united-states,,,,,Milk,en:milk,,,kcal,140.0,,serving,2.0,g,1.5,g,17.0,12.0,g,14.0,g,112.5,mg,45.0,mg,140.0,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",a,-3.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes
0042743141077,Strawberry Banana Drinkable Yogurt,"el mexicano,marquez brothers","el-mexicano,marquez-brothers",,240 mL,"en:beverages,en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:dairy-drinks,en:fermented-dairy-desserts,en:fermented-drinks,en:yogurts,en:fermented-milk-drinks,en:drinkable-yogurts",,,en:united-states,,,,,Milk,en:milk,,,kcal,270.0,,serving,9.0,g,6.0,g,41.0,40.0,g,8.0,g,250.0,mg,100.0,mg,270.0,kcal,en:sweetened-beverages,"en:beverages,en:sweetened-beverages",e,22.0,17.0,e,Yes,Yes,Yes,Yes,Yes,Yes
0036632036414,Danimals Strawberry Banana Smoothie,"dannon,the dannon company  inc.","dannon,the-dannon-company-inc",6 x 3.1 fl oz,1 BOTTLE (93 ml),"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",,,en:united-states,,,,,,,,,kcal,65.0,,100g,0.54,g,0.0,g,11.83,9.68,g,2.15,g,95.0,mg,38.0,mg,65.0,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",b,1.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes
